,Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
1480,PolarCube,University of Colorado at Boulder,US,3U,2021-01-17,Operational,Demonstrating atmospheric sounding and sea ice/ice-free ocean detection and mapping over the Polar Regions.,
1481,Prometheus 2.8 (Prometheus-05),USSOCOM (US Special Operations Command),US,1.5U,2021-01-17,Unknown,Demonstrate improved CubeSat platform.,
1482,Prometheus 2.11,USSOCOM (US Special Operations Command),US,1.5U,2021-01-17,Unknown,Demonstrate improved CubeSat platform.,
1483,"Q-PACE (QPACE, Cu-PACE, CubeSat Particle Aggregation and Collision Experiment)",University of Central Florida,US,3U,2021-01-17,No signal,Producing tens of thousands of collisions simulating the first steps in planet formation.,
1484,RadFXSat-2 (Fox-1E),Vanderbilt University,US,3U,2021-01-17,Semi-operational,"Demonstrate a short interval, cost-effective, on-orbit platform for qualification of components for space.",
1485,TechEdSat-7,NASA Ames Research Center,US,2U,2021-01-17,Operational,Further develop the Exo-Brake system and demonstrate CubeSat Identity Tag (CUBIT) by DARPA.,
1486,All-Charlie (Charlie),Aurora Insight,US,6U,2021-01-24,Operational,Take trillions of measurements to produce valuable information on RF spectrum and the networks that rely on it.,
1487,ARCE-1A (Articulated Reconnaissance and Communications Expedition – 1),University of South Florida,US,0.5U,2021-01-24,Operational,Three identical CubeSats for inter-satellite networked communications research.,
1488,ARCE-1B (Articulated Reconnaissance and Communications Expedition – 1),University of South Florida,US,0.5U,2021-01-24,Operational,Three identical CubeSats for inter-satellite networked communications research.,
1489,ARCE-1C (Articulated Reconnaissance and Communications Expedition – 1),University of South Florida,US,0.5U,2021-01-24,Operational,Three identical CubeSats for inter-satellite networked communications research.,
1490,ASELSAT,ITU (Istanbul Technical University,Turkey,3U,2021-01-24,"Operational, ?",Earth observation mission with X-band downlink system.,
1491,Astrocast 3 (Astrocast-0101),Astrocast,Switzerland,3U,2021-01-24,Operational,Constellation for IoT/M2M services.,
1492,Astrocast 4 (Astrocast-0102),Astrocast,Switzerland,3U,2021-01-24,Operational,Constellation for IoT/M2M services.,
1493,Astrocast 5 (Astrocast-0103),Astrocast,Switzerland,3U,2021-01-24,Operational,Constellation for IoT/M2M services.,
1494,Astrocast 6 (Astrocast-0104),Astrocast,Switzerland,3U,2021-01-24,Operational,Constellation for IoT/M2M services.,
1495,Astrocast 7 (Astrocast-0105),Astrocast,Switzerland,3U,2021-01-24,Operational,Constellation for IoT/M2M services.,
1496,Flock-4s 1,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1497,Flock-4s 2,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1498,Flock-4s 3,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1499,Flock-4s 4,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1500,Flock-4s 5,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1501,Flock-4s 6,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1502,Flock-4s 7,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1503,Flock-4s 8,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1504,Flock-4s 9,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1505,Flock-4s 10,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1506,Flock-4s 11,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1507,Flock-4s 12,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1508,Flock-4s 13,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1509,Flock-4s 14,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1510,Flock-4s 15,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1511,Flock-4s 16,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1512,Flock-4s 17,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1513,Flock-4s 18,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1514,Flock-4s 19,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1515,Flock-4s 20,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1516,Flock-4s 21,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1517,Flock-4s 22,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1518,Flock-4s 23,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1519,Flock-4s 24,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1520,Flock-4s 25,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1521,Flock-4s 26,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1522,Flock-4s 27,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1523,Flock-4s 28,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1524,Flock-4s 29,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1525,Flock-4s 30,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1526,Flock-4s 31,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1527,Flock-4s 32,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1528,Flock-4s 33,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1529,Flock-4s 34,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1530,Flock-4s 35,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1531,Flock-4s 36,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1532,Flock-4s 37,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1533,Flock-4s 38,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1534,Flock-4s 39,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1535,Flock-4s 40,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1536,Flock-4s 41,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1537,Flock-4s 42,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1538,Flock-4s 43,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1539,Flock-4s 44,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1540,Flock-4s 45,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1541,Flock-4s 46,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1542,Flock-4s 47,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1543,Flock-4s 48,Planet Labs,US,3U,2021-01-24,Operational,Constellation for optical Earth observation with 3-5m resolution.,
1544,"Hiber 4 (Hiber Four, HiberFour)",Hiber,Netherlands,3U,2021-01-24,"Semi-operational, ?",Test the initial IoT/M2M service.,
1545,"IDEASSat (Flying Squirrel, Feishu Weixing, INSPIRESat-2, Ionospheric Dynamics Explorer and Attitude Subsystem Satellite, INternational Satellite Program In Research and Education Satellite)",National Central University,Taiwan,3U,2021-01-24,Operational,Measure ionospheric structure and plasma irregularities for radio communications monitoring. Compact ionosphere probe.,
1546,Kepler-8 (Amarok),Kepler Communications,Canada,6U,2021-01-24,Operational,Commercial constellation for IoT/M2M and wideband communications.,
1547,Kepler-9 (Artemis),Kepler Communications,Canada,6U,2021-01-24,Operational,Commercial constellation for IoT/M2M and wideband communications.,
1548,Kepler-10 (Baby Yoda),Kepler Communications,Canada,6U,2021-01-24,Operational,Commercial constellation for IoT/M2M and wideband communications.,
1549,Kepler-11 (Daneel),Kepler Communications,Canada,6U,2021-01-24,Operational,Commercial constellation for IoT/M2M and wideband communications.,
1550,Kepler-12 (Boba),Kepler Communications,Canada,6U,2021-01-24,Operational,Commercial constellation for IoT/M2M and wideband communications.,
1551,Kepler-13 (Lucky),Kepler Communications,Canada,6U,2021-01-24,Operational,Commercial constellation for IoT/M2M and wideband communications.,
1552,Kepler-14 (Stella),Kepler Communications,Canada,6U,2021-01-24,Operational,Commercial constellation for IoT/M2M and wideband communications.,
1553,Kepler-15 (SUDORMRF),Kepler Communications,Canada,6U,2021-01-24,Operational,Commercial constellation for IoT/M2M and wideband communications.,
1554,Lemur-2 130 Chantal,Spire,US,3U,2021-01-24,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1555,Lemur-2 131 JenniferSong,Spire,US,3U,2021-01-24,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1556,Lemur-2 132 Mango1 (Mango One),Spire / Jacobs,US,3U,2021-01-24,Operational,"Demonstrate and qualify radar, communications and intelligence capabilities in space.",
1557,Lemur-2 133 Nallywacker,Spire,US,3U,2021-01-24,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1558,Lemur-2 134 Neva,Spire,US,3U,2021-01-24,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1559,Lemur-2 135 NoobNoob,Spire,US,3U,2021-01-24,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1560,Lemur-2 136 Ruairi-Eilidh,Spire,US,3U,2021-01-24,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1561,Lemur-2 137 SaoirseDH5Guo,Spire,US,3U,2021-01-24,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
1562,"PIXL-1, (Photo Images Cross Laser, CubeL PIXL, CubeL, OSIRIS4CubeSat)",DLR (German Aerospace Center),Germany,3U,2021-01-24,Operational,Demonstration of the OSIRIS optical demonstration payload for CubeSats.,
1563,Prometheus 2.10 (P2-10),USSOCOM (US Special Operations Command),US,1.5U,2021-01-24,Unknown,Demonstrate improved CubeSat platform.,
1564,"PTD-1 (PTHFDR, Pathfinder Technology Demonstrator, NASA PTD-1)",NASA Ames Research Center,US,6U,2021-01-24,Operational,Demonstrate propulsion systems and CubeSat platform technologies.,
1565,"SOMP2b (SOMP 2b, SOMP-2, Student On-Orbit Measurement Project 2b)",Dresden University of Technology,Germany,2U,2021-01-24,Operational,Reflight of SOMP2 with minimal modifications?,
1566,SpaceBEE-40,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1567,SpaceBEE-41,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1568,SpaceBEE-42,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1569,SpaceBEE-43,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1570,SpaceBEE-44,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1571,SpaceBEE-45,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1572,SpaceBEE-46,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1573,SpaceBEE-47,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1574,SpaceBEE-48,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1575,SpaceBEE-49,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1576,SpaceBEE-50,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1577,SpaceBEE-51,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1578,SpaceBEE-52,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1579,SpaceBEE-53,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1580,SpaceBEE-54,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1581,SpaceBEE-55,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1582,SpaceBEE-56,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1583,SpaceBEE-57,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1584,SpaceBEE-58,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1585,SpaceBEE-59,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1586,SpaceBEE-60,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1587,SpaceBEE-61,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1588,SpaceBEE-62,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1589,SpaceBEE-63,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1590,SpaceBEE-64,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1591,SpaceBEE-65,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1592,SpaceBEE-66,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1593,SpaceBEE-67,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1594,SpaceBEE-68,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1595,SpaceBEE-69,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1596,SpaceBEE-70,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1597,SpaceBEE-71,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1598,SpaceBEE-72,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1599,SpaceBEE-73,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1600,SpaceBEE-74,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1601,SpaceBEE-75,Swarm Technologies,US,0.25U,2021-01-24,Operational,World’s smallest two-way communications satellites for IoT.,
1602,"UVSQ-Sat (UVSQSAT, UV & IR Sensors at high Quantum efficiency onboard a small SATellite)",University of Versailles Saint-Quentin-en-Yvelines (UVSQ),France,1U,2021-01-24,Operational,Measure solar radiation and educational mission.,
1603,V-R3x 1 (Littlefoot),Carnegie Mellon,US,1U,2021-01-24,Was operational,"Demonstrate new technologies for networked communication, relative navigation, formation flying, and swarming.",
1604,V-R3x 2 (Petrie),Carnegie Mellon,US,1U,2021-01-24,Was operational,"Demonstrate new technologies for networked communication, relative navigation, formation flying, and swarming.",
1605,V-R3x 3 (Cora),Carnegie Mellon,US,1U,2021-01-24,Was operational,"Demonstrate new technologies for networked communication, relative navigation, formation flying, and swarming.",
1606,"YUSAT-1 (Yushan-1 CubeSat, Yushan Weixing, Yushan Satellite 1)",National Taiwan Ocean University,Taiwan,1.5U,2021-01-24,Operational,AIS payload instrument for marine vessels monitoring for navigation safety and position reporting application.,
1607,"GuaraniSat-1 (Guarani-1, BIRDS-4)",Kyushu Institute of Technology,Paraguay,1U,2021-02-20,"Reentered, Operational",Educational and amateur radio mission.,
1608,Gunsmoke-J 2 (Jacob's Ladder),US Army Space and Missile Defense Command,US,3U,2021-02-20,Operational,Demonstrate a diverse situational awareness capability from LEO that will directly benefit the Army Warfighter in theater.,
1609,"IT-SPINS (Spacebuoy, Ionospheric-Thermospheric Scanning Photometer for Ion-Neutral Studies )",Montana State University,US,3U,2021-02-20,Operational,Provide the first two-dimensional (2D) tomographic imaging addressing the basic nature of the nocturnal ionosphere.,
1610,Maya-2 (BIRDS-4),Kyushu Institute of Technology,Philippines,1U,2021-02-20,"Reentered, Operational",Educational and amateur radio mission.,
1611,MYSAT-2 (DhabiSat),Khalifa University of Science and Technology,United Arab Emirates,2U,2021-02-20,"Semi-operational, Was operational, ?",Educational training plus small camera for vegetation monitoring and new type of battery.,
1612,"OPUSAT-II (Hirogari, OPUSAT-2)",Osaka Prefecture University,Japan,2U,2021-02-20,"Operational, Reentered",Demonstration of high-speed data transmission in amateur radio band and on-orbit shape measurement system.,
1613,ORCA-6,LANL,US,1.5U,2021-02-20,"Operational, ?",,
1614,ORCA-7,LANL,US,1.5U,2021-02-20,"Operational, ?",,
1615,"RSP-01 (RymanSat Project, Selfie-sh)",Rymansat Project (Lehman Sat),Japan,1U,2021-02-20,"Semi-operational, Was operational, ?, Reentered","Send the picture of satellite itself, taken by onboard camera.",
1616,"STARS-EC A (Space Tethered Autonomous Robotic Satellite, Sanko)",Shizuoka University,Japan,1U,2021-02-20,"Operational, Reentered",Elevator lifting experiment with 3 satellites connected by tethers,
1617,"STARS-EC B (Space Tethered Autonomous Robotic Satellite, Sanko)",Shizuoka University,Japan,1U,2021-02-20,"Operational, Reentered",Elevator lifting experiment with 3 satellites connected by tethers,
1618,"STARS-EC C (Space Tethered Autonomous Robotic Satellite, Sanko)",Shizuoka University,Japan,1U,2021-02-20,"Operational, Reentered",Elevator lifting experiment with 3 satellites connected by tethers,
1619,"Tausat (TAU-SAT, TAU-Sat 1)",Herzliya Science Center,Israel,3U,2021-02-20,Operational,Educational mission with radiation measurement and amateur radio transponder.,
1620,"ThinSat-2A (Coast Guard 1, MEDO-1, ODU, TSL-1, TU)",Virginia Space,US,ThinSat 6x1T,2021-02-20,"Reentered, No signal",ThinSat satellite platform for educational training.,
1621,"ThinSat-2B (TSL-3, TSL-2, MS-2, MEDO-2, GMU)",Virginia Space,US,ThinSat 5x1T,2021-02-20,"Reentered, Was semi-operational",ThinSat satellite platform for educational training.,
1622,"ThinSat-2C (NSE, MS-3, MEMSat, MEDO-3, MEDO-4)",Virginia Space,US,ThinSat 5x1T,2021-02-20,"Reentered, Was semi-operational",ThinSat satellite platform for educational training.,
1623,"ThinSat-2D (MEDO-5, MEDO-6, MEDO-7, ProtoSat, Salisbury University, TSL-4, TSL-5, MS-4)",Virginia Space,US,ThinSat 8x1T,2021-02-20,"Reentered, Was semi-operational",ThinSat satellite platform for educational training.,
1624,"ThinSat-2E (Virginia Tech, VATech, VT ThickSat)",Virginia Space,US,ThinSat 6T,2021-02-20,"Reentered, No signal",ThinSat satellite platform for educational training.,
1625,"ThinSat-2F (NSL-1, NSL-2)",Virginia Space,US,ThinSat 2x1T,2021-02-20,"Reentered, No signal",ThinSat satellite platform for educational training.,
1626,"ThinSat-2G (NSL-3, Taylor University)",Virginia Space,US,ThinSat 1T,2021-02-20,"Reentered, No signal",ThinSat satellite platform for educational training.,
1627,"ThinSat-2H (NSL-4, Career Academy)",Virginia Space,US,ThinSat 1T,2021-02-20,"Reentered, No signal",ThinSat satellite platform for educational training.,
1628,"ThinSat-2I (NSL-5, University of Minnesota)",Virginia Space,US,ThinSat 1T,2021-02-20,"Reentered, No signal",ThinSat satellite platform for educational training.,
1629,Tsuru (BIRDS-4),Kyushu Institute of Technology,Japan,1U,2021-02-20,"Reentered, Operational",Educational and amateur radio mission.,
1630,"Warp-01 (Nichirin, Warp-1)",WARPSPACE,Japan,1U,2021-02-20,"Operational, ?",Demonstrate new satellite bus components and custom radio transmitter in space.,
1631,NanoConnect-2 (SAI-1),UNAM (National Autonomous University of Mexico),Mexico,2U,2021-02-28,Operational,Educational mission to demonstrate spacecraft subsystems in space.,
1632,"Saditsat (SKI SATISH DHAWAN SAT, SDSAT. SD Sat, SD'Sat)",Space Kidz India,India,3U,2021-02-28,Operational,"Educational mission studying space radiation, magnetosphere and demonstrating nanosatellite components.",
1633,SpaceBEE-76,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1634,SpaceBEE-77,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1635,SpaceBEE-78,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1636,SpaceBEE-79,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1637,SpaceBEE-80,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1638,SpaceBEE-81,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1639,SpaceBEE-82,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1640,SpaceBEE-83,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1641,SpaceBEE-84,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1642,SpaceBEE-85,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1643,SpaceBEE-86,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1644,SpaceBEE-87,Swarm Technologies,US,0.25U,2021-02-28,Operational,World’s smallest two-way communications satellites for IoT.,
1645,UNITYSat 1 (JITSat),Jeppiaar Institute of Technology,India,0.25U,2021-02-28,No signal,UNITY program consisting of 0.25U and later 0.125U CubeSats.,
1646,UNITYSat 2 (GHRCEsat),G H Raisoni Institute of Engineering and Technology and,India,0.25U,2021-02-28,Was semi-operational,UNITY program consisting of 0.25U and later 0.125U CubeSats.,
1647,"UNITYSat 3 (Sri Shakthi Sat, SSIETSAT)",Sri Shakthi Institute of Engineering and Technology,India,0.25U,2021-02-28,No signal,UNITY program consisting of 0.25U and later 0.125U CubeSats.,
1648,"3B5GSAT (Sateliot-1, 3rd Generation Before 5th Generation Satellite)",Sateliot,Spain,3U,2021-03-22,Operational,Constellation for continuous global connectivity for Internet of Things (IoT) under a 5G architecture.,
1649,"Arduiqube DIY1 (DIY-1, DIYSATELLITE)",Diysatellite Group,Argentina,PocketQube 1p,2021-03-22,Operational,Educational mission to measure the health and attitude of the satellite.,
1650,BCCSat-1 (Bangkok Christian College Satellites,Bangkok Christian College,Thailand,1U,2021-03-22,Operational,World's First Educational Multispectral Cubesat Build by High-School Students,
1651,BEESAT-5,Berlin Technical University,Germany,0.25U,2021-03-22,Operational,Pi­co­satel­lite swarm mis­sion of 0.25U CubeSats.,
1652,BEESAT-6,Berlin Technical University,Germany,0.25U,2021-03-22,Operational,Pi­co­satel­lite swarm mis­sion of 0.25U CubeSats.,
1653,BEESAT-7,Berlin Technical University,Germany,0.25U,2021-03-22,Operational,Pi­co­satel­lite swarm mis­sion of 0.25U CubeSats.,
1654,BEESAT-8,Berlin Technical University,Germany,0.25U,2021-03-22,Operational,Pi­co­satel­lite swarm mis­sion of 0.25U CubeSats.,
1655,CANYVAL-C (Pumbaa),Yonsei University,South Korea,2U,2021-03-22,No signal,Imaging the solar corona - including the region that is 10 times the Sun’s angular diameter.,
1656,CANYVAL-C (Timon),Yonsei University,South Korea,1U,2021-03-22,No signal,Imaging the solar corona - including the region that is 10 times the Sun’s angular diameter.,
1657,"Centauri-3 (Centauri 3, Tyvak-0210)",Fleet Space,Australia,6U,2021-03-22,Operational,IoT satellite network.,
1658,Challenge One (ChallengeOne),Telnet,Tunisia,3U,2021-03-22,Operational,Scientific research and technology demonstrator satellite for IoT.,
1659,"CubeSX-HSE (NRU HSE, R13S)",Moscow Institute of Electronics and Mathematics,Russia,3U,2021-03-22,Operational,Educational mission with X-band transmitter.,
1660,"CubeSX-Sirius-HSE (MIEM, NIU VShE - DZZ, R14S)",Moscow Institute of Electronics and Mathematics,Russia,3U,2021-03-22,Operational,Educational mission with X-band transmitter.,
1661,FEES (Flexible Experimental Embedded Satellite),GP Advanced Projects,Italy,0.3U,2021-03-22,Operational,Demonstrate various technologies including Iridium modem and camera.,
1662,GRBAlpha (GRB-Alpha),Technical University of Kosice,Slovakia,1U,2021-03-22,Operational,Educational mission with digipeater and testing gamma-ray burst sensor.,
1663,Gunsmoke-J 3 (Jacob's Ladder),US Army Space and Missile Defense Command,US,3U,2021-03-22,Unknown,Demonstrate a diverse situational awareness capability from LEO that will directly benefit the Army Warfighter in theater.,
1664,"Hiber 3 (Hiber Three, HiberThree)",Hiber,Netherlands,3U,2021-03-22,"Semi-operational, ?",Test the initial IoT/M2M service.,
1665,Kepler-6 (Rocinante),Kepler Communications,Canada,6U,2021-03-22,Operational,Commercial constellation for IoT/M2M and wideband communications.,
1666,Kepler-7 (C3PO),Kepler Communications,Canada,6U,2021-03-22,Operational,Commercial constellation for IoT/M2M and wideband communications.,
1667,KMSL (Korea Microgravity Science Laboratory),Chosun University,South Korea,3U,2021-03-22,Operational,Perform a fire experiment in low Earth orbit and biological experiments.,
1668,KSU_CubeSat (KSU CubeSat),King Saud University,Saudi Arabia,1U,2021-03-22,Operational,Planning to send telemetry and images from space and repeating a received voice.,
1669,LacunaSat-2b (LS2),Lacuna Space,UK,3U,2021-03-22,Operational,Innovative Internet-of-Things (‘IoT’) connectivity-via-satellite payload demonstrator.,
1670,Myriota 7 (Tyvak-0152),Myriota,Australia,3U,2021-03-22,Operational,Constellation towards providing real-time IoT connectivity.,
1671,NANOSATC-BR2,National Institute for Space Research,Brazil,2U,2021-03-22,Was semi-operational,"Langmuir probe, attitude determination system.",
1672,OrbiCraft - Zorkiy (Zorky),Sputnix,Russia,6U,2021-03-22,Operational,Demonstration of new CubeSat platform and remote sensing camera with 6.6 meter resolution.,
1673,RAAF M2 A (M2-A),University of New South Wales (UNSW Canberra),Australia,6U (1/2 12U),2021-03-22,Operational,Deliver to the RAAF AIS / ADS-B capability across the globe using COTS AIS and ADS-B systems.,
1674,RAAF M2 B (M2-B),University of New South Wales (UNSW Canberra),Australia,6U (1/2 12U),2021-03-22,Operational,Deliver to the RAAF AIS / ADS-B capability across the globe using COTS AIS and ADS-B systems.,
1675,"SAMSON A (Adelis-SAMSON, Space Autonomous Mission for Swarming and Geolocating Nanosatellites)",Israel Institute Of Technology,Israel,6U,2021-03-22,"Unknown, ?",Demonstrate long-term autonomous cluster flight of multiple satellites.,
